1,0xD0B0FF,2,1148,Metalworking_Woodworking_Woom,金工・木工室,255,37,M 121 0 V 74 H 389 V 0 Z M 75 0 v 30 h 46 V 0 Z m 0 30 v 44 h 33 V 30 Z
1,0xD0B0FF,0,1147,Calligraphy_Room,書道室,456,37,M 389 0 V 74 H 526 V 0 Z m 31 74 V 35 m 0 0 h -31 z
1,0xD0B0FF,4,1146,Art_and_Calligraphy_Dept_Office,,546,37,m 524 0 v 74 h 45 V 0 Z
1,0xD0B0FF,2,1145,Art_and_Craft_Room,美術\n工芸室,636,37,M 569 0 V 74 H 704 V 0 Z
1,0xD0B0FF,2,1144,Sewing_Room,被服室,747,37,m 704 0 v 74 h 86 V 0 Z
1,0xB0D0FF,2,1141,Analytical_Lab,分析室,164,147,m 75 110 v 74 h 179 v -74 z m 89 0 v 74 z
1,0xB0D0FF,1,1140,Environmental_Science_Lab,環境実験室,344,147,m 254 110 v 74 h 180 v -74 z m 135 0 v 74 z
1,0xD0B0FF,2,1137,Cooking_Room,調理室,679,147,m 611 110 v 74 h 136 v -74 z
1,0xD0B0FF,4,1136,Home_Economics_Dept_Office,,770,147,m 747 110 v 74 h 46 v -74 z
1,0xFFB090,1,1134,Nanomaterial_Generation_Lab,ナノ材料創製室,299,326,m 164 289 v 74 h 270 v -74 z m 90 0 v 50 z m 45 0 v 37 z m 45 0 v 37 z
1,0xB0D0FF,1,1132,Electron_Microscope_Lab,電子\n顕微鏡\n室,480,326,m 434 289 v 74 h 93 v -74 z m 45 0 v 74 z
1,0xD0B0FF,0,1130,Tea_Ceremony_Room,和室,657,326,m 611 289 h 23 v -10 h 50 v 10 h 20 v 65 h 16 v 9 H 611 Z
1,0xFFFFFF,2,1128,____rensyu,練\n習\n室,731,326,m 704 289 v 30 h 55 v -30 z m 0 30 h 35 v 44 h -19 v -9 h -16 z
1,0xD0B0FF,1,1127,Music_Dept_Stock_Room,楽\n器\n室,776,326,m 759 289 v 74 h 34 v -74 z
1,0xD0B0FF,1,1125,Seminar_Room_C11_12,C12\n\n\nC11,119,381,m 75 289 v 74 h 89 v -74 z m 0 110 v 74 h 89 v -74 z
1,0xFFB090,1,1124,Nanomaterial_Observatory_Room,ナノ材料評価室,299,436,m 164 399 v 74 h 270 v -74 z m 45 37 v 37 z m 45 0 v 37 z m 45 0 v 37 z m 45 0 v 37 z m 45 -37 v 37 z m 0 37 h 45 z m 15 -37 v 37 z
1,0xFFB090,4,1123,Nanotechnology_Dept_Office,,456,436,m 434 399 v 74 h 45 v -74 z
1,0xFFFFFF,4,1122,____souko1,,503,436,m 479 399 v 74 h 48 v -74 z
1,0xD0B0FF,1,1121,Music_Room,音楽室,679,436,m 566 399 v 74 h 227 v -74 z m 181 0 v 74 z
1,0xFFFFFF,4,1118,____room1,,726,525,M 659 473 H 793 V 578 H 659 Z
1,0xD0B0FF,0,1117,Audio_Visual_Room,視聴覚室,276,615,m 209 578 v 74 h 135 v -74 z
1,0xB0D0FF,1,1116,Science_and_Technology_Advisors_Room,科学\n技術\n顧問室,390,615,m 344 578 v 74 h 93 v -74 z
1,0xB0FFB0,1,1113,Fieldwork_Lab,屋外\n実習室,119,725,m 75 688 v 74 h 89 v -74 z
1,0xB0D0FF,2,1112,Nurses_Office,保健室,231,725,m 164 688 v 74 h 135 v -74 z
1,0xD0B0FF,2,1111,Broadcasting_Room,放\n送\n室,323,725,m 299 688 v 74 h 48 v -74 z
1,0xD0B0FF,1,1110,Studio,スタ\nジオ,390,725,m 347 688 v 74 h 90 v -74 z
1,0xFFFFFF,4,1109,____syoukouguti,昇降口,524,725,,m 447 688 h -10 m 50 0 h -20 m 144 0 h -10 m -20 0 h -20 m -20 0 h -34 m -60 52 h -10 m 50 0 h -20 m 144 0 h -10 m -20 0 h -20 m -20 0 h -34 z
1,0xB0D0FF,2,1107,School_Office,事務室,679,725,m 611 688 v 74 h 136 v -74 z m 48 0 v 74 z
1,0xFFFFFF,1,1105,Teachers_Room,職員室,904,599,m 826 436 h 120 l 94 326 H 838 v -74 h -12 z
1,0xB0D0FF,2,1103,Printing_Room,印刷室,884,309,m 838 289 v 41 h 92 v -41 z
1,0xB0D0FF,2,1102,Reception_Room,応接室,884,355,m 838 330 v 51 h 92 v -51 z
1,0xB0D0FF,2,1101,Principals_Office,校長室,878,409,m 838 381 v 18 h -12 v 37 h 104 v -55 z
1,0xFFFFFF,4,1199,____gomistation,,806,37,m 790 0 v 74 h 33 V 0 Z
1,0xFFFFFF,0,2100,Cafeteria,カフェテリア,203,1052,m 20 977 16 151 H 347 V 977 h -33 v 23 h -53 v -23 z m 27 151 V 977 m 86 0 v 107 m -16 -94 v 138 z
1,0xFFFFFF,4,2199,____chori,,181,1203,m 96 1128 h 171 v 151 H 96 v -71 H 50 v -26 h 46 z
1,0xFFFFFF,4,2198,____kanri2,,307,1243,m 267 1208 h 80 v 71 h -80 z
1,0xFFFFFF,0,2101,Communication_Center,交流センター,569,1052,m 616 1098 h -90 v 30 h 90 z m 0 30 h 91 V 977 H 431 v 151 h 95 v -30 h 90 z
1,0xFFFFFF,0,2102,____jukendo,柔剣道場,569,1203,m 431 1128 v 151 h 276 v -151 z
1,0xFFFFFF,4,2197,____korehanani,,785,1151,m 785 1151 h -5 v 15 h 5 z m -18 0 v -23 h 18 v 23 z
1,0xFFFFFF,4,2196,____room2,,731,1166,m 731 1166 h 56 v 113 h -81 v -33 h 25 z
